first_name,middle_name,last_name,nickname,pseudonym,date_of_birth,place_of_birth,gender,ethnicity,net_worth_2023,education,highest_degree
William,Matthew,Currington,,Billy Currington,11/19/73,"Savannah, Georgia",Male,White,4500000,"Effingham County High School, Georgia",Diploma
Blake,Tollison,Shelton,,Blake Shelton,6/18/76,"Ada, Oklahoma",Male,White,120000000,Ada High School,Diploma
Brantley,Keith,Gilbert,,Brantley Gilbert,1/20/85,"Jefferson, Georgia",Male,White,15000000,Not Disclosed to the public,Diploma
Brett,Charles,Young,,Brett Young,3/23/81,"Anaheim, California",Male,White,3000000,"Calvary Chapel High School, California",Diploma
Carrie,Marie,Underwood,,Carrie Underwood,3/10/83,"Muskogee, Oklahoma",Female,White,140000000,"Northeastern State Universit, Oklahoma",Bachelor Degree
Christopher,Alvin,Stapleton,,Chris Stapleton,4/15/78,"Lexington, Kentucky",Male,White,25000000,"Johnson Central High School, Kentucky",Diploma
Colden,Rainey,Swindell,,Cole Swindell,6/30/83,"Franklin, Tennessee",Male,White,3000000,"Georgia Southern University, Georgia",Bachelor Degree
James,Shay,Mooney,,Dan + Shay,12/27/91,"Natural Dam, Arkansas",Male,White,5000000,"Van Buren High School, Arkansas",Diploma
Daniel,,Smyers,Dan,Dan + Shay,8/16/87,"Wexford, Pennsylvania",Male,White,5000000,"Carnegie Mellon University, Pennsylvania",Bachelor Degree
Frederick,Dierk,Bentley,,Dierks Bently,11/20/75,"Phoenix, Arizona",Male,White,30000000,"Vanderbilt University, Tennessee",Bachelor Degree
Kenneth,Eric,Church,,Eric Church,5/3/77,"Granite Falls, North Carolina",Male,White,40000000,"Appalachian State University, North Carolina",Bachelor Degree
Tyler,Reed,Hubbard,,Florida Georgia Line,1/31/87,"Monroe, Georgia",Male,White,25000000,Loganville Christian Academy,Diploma
Brian,Edward,Kelley,,Florida Georgia Line,8/26/85,"Ormond Beach, Florida",Male,White,25000000,Seabreeze High School,Diploma
Jason,Aldine,Williams,,Jason Aldean,2/28/77,"Macon, Georgia",Male,White,170000000,Windsor Academy,Diploma
Jonathan,Ryan,Pardi,,Jon Pardi,5/20/85,"Dixon, California",Male,White,8000000,"Dixon High School, California",Diploma
Justin,Cole,Moore,,Justin Moore,3/30/84,"Poyen, Arkansas",Male,White,10000000,"Poyen High, Arkansas",Diploma
Kane,Allen,Brown,,Kane Brown,10/21/93,"Chattanooga, Tennessee",Male,Multiracial,6000000,"Soddy Daisy High School, Tennesse",Diploma
Keith,Lionel,Urban,,Keith Urban,10/26/67,"Whangāre, New Zealand",Male,Pākehā,75000000,High School Drop Out,
Kenneth,Arnold,Chesney,,Kenny Chesney,3/26/68,"Knoxville, Tennessee",Male,White,190000000,"Gibbs High School, Tennessee",Diploma
