first_name,last_name,stage_name,album,year,genre,number_of_songs,label,sales,top_hits_in_the_album_(year-rank)
Gabby,Barrett,,Goldmine,2020,Country Pop,13,Warner Bros. Nashville,1080000,I Hope (2020-1)
Morgan,Wallen,,Dangerous: The Double Album,2021,Country Pop,30,Big Loud & Republic,6397500,More Than My Hometown (2020-2)
Maren,Morris,,Girl,2019,Country Pop,14,Columbia Nashville,716000,The Bones (2020-3/2019-6)
,,Dan + Shay,Good Things,2021,Country Pop,12,Warner Bros. Nashville,1080000,"10,000 Hours (2020-4/2019-2)"
Luke,Bryan,,Born Here Live Here Die Here,2020,Country,10,Capitol Nashville & Row Crop,580000,One Margarita (2020-5)
Niko,Moon,,Good Time,2021,Country,14,RCA Nashville,,Good Time (2020-6)
Morgan,Wallen,,If I Know Me,2018,Country,14,Big Loud,3000000,Chasin' You (2020-7) & Whiskey Glasses (2019-1)
Blake,Shelton,,Fully Loaded: God's Country,2019,Country,12,Warner Bros. Nashville,540000,Nobody but You (2020-8) & God's Country (2019-4)
Carly,Pearce,,Carly Pearce,2020,Country,13,Big Machine,,I Hope You're Happy Now (2020-9)
Sam,Hunt,,Southside,2020,Country Pop,12,MCA Nashville,1080000,Hard to Forget (2020-10) & Body Like a Back Road (2017-1)
,,Dan + Shay,Dan + Shay,2018,Country Pop,11,Warner Bros. Nashville,2080000,Speechless (2019-3/2018-5) & All to Myself (2019-8) & Tequila (2018-2)
Luke,Combs,,What You See Is What You Get,2019,Country,17,River House Artists & Columbia Nashville,4567500,Beer Never Broke My Heart (2019-5)
Luke,Combs,,This One's For You,2017,Country,12,River House Artists & Columbia Nashville,6695000,Beautiful Crazy (2019-7) & One Number Away (2018-7) & Beautiful Crazy (2018-10) & Hurricane (2017-4) & When It Rains It Pours (2017-7)
Lee,Brice,,Lee Brice,2017,Country,15,Curb,500000,Rumor (2019-9)
Blanco,Brown,,Honeysuckle And Lightning Bugs,2019,Country Rap,10,Broken Bow,,The Git Up (2019-10)
Bebe,Rexha,,All Your Fault: Pt. 2,2017,Country Pop,6,Warner Bros. Nashville,85000,Meant To Be (2018-1/2017-3)
Kane,Brown,,Kane Brown,2016,Country Pop,11,RCA Nashville,3080000,Heaven (2018-3)
Jason,Aldean,,Rearview Town,2018,Country Rock,15,Broken Bow & Macon,1398000,You Make It Easy (2018-4)
Kenny,Chesney,,Songs For The Saints,2018,Country,11,Blue Chair & Warner Bros. Nashville,500000,Get Along (2018-6)
,,Florida Georgia Line,Can't Say I Ain't Country,2019,Country Pop,19,Big Machine & Tree Vibez,5080000,Simple (2018-8)
Thomas,Rhett,,Life Changes,2017,Country Pop,14,Valory,1080000,Marry Me (2018-9) & Craving You (2017-9)
Brett,Young,,Brett Young,2017,Country,12,Big Machine,1080000,In Case You Didn't Know (2018-2)
Dustin,Lynch,,Current Mood,2017,Country,13,Broken Bow,,Small Town Boy (2017-5)
Chris,Stapleton,,From A Room: Volume 1,2017,Country,9,Mercury Nashville,1040000,Broken Halos (2017-6)
Keith,Urban,,Ripcord,2016,Country Pop,13,Hit Red & Capitol Nashville,2220000,"The Fighter (2017-8) & Blue Ain't Your Color (2016-2) & John Cougar, John Deere, John 3:16 (2015-10)"
Jon,Pardi,,California Sunrise,2016,Country,12,Capitol Nashville,1156000,Dirt on My Boots (2017-10)
,,Florida Georgia Line,Dig Your Roots,2016,Country,15,Big Machine & Big Loud,1000000,H.O.L.Y. (2016-1) & May We All (2016-9)
Kenny,Chesney,,Cosmic Hallelujah,2016,Country,12,Blue Chair & Columbia Nashville,500000,Setting The World On Fire (2016-3)
Cole,Swindell,,You Should Be Here,2016,Country,12,Warner Bros. Nashville,1000000,You Should Be Here (2016-4)
Dierks,Bentley,,Black,2016,Country,13,Capitol Nashville,1000000,Somewhere on a Beach (2016-5)
Kelsea,Ballerini,,The First Time,2015,Country Pop,12,Black River,1000000,Peter Pan (2016-6)
Tim,McGraw,,Damn Country Music,2015,Country,11,Big Machine,540000,Humble And Kind (2016-8)
Blake,Shelton,,If I'm Honest,2016,Country,15,Warner Bros. Nashville,667000,Came Here To Forget (2016-10)
Thomas,Rhett,,Tangled Up,2015,Country,13,Valory,678900,Die A Happy Man (2015-1)
Sam,Hunt,,Montevallo,2014,Country Pop,10,MCA Nashville,3080000,Take Your Time (2015-2) & House Party (2015-3) & Break Up In A Small Town (2015-8) & Leave The Night On (2014-5)
Luke,Bryan,,Kill The Lights,2015,Country,13,Capitol Nashville,1195100,Strip It Down (2015-4) & Kick The Dust Up (2015-5)
Luke,Bryan,,Crash My Party,2013,Country,13,Capitol Nashville,4160000,I See You (2015-6) & That's My Kind Of Night (2013-2)
,,Zac Brown Band,Jekyll + Hyde,2015,Country Rock,16,Big Machine & Republic,712400,Homegrown (2015-9)
Thomas,Rhett,,It Goes Like This,2013,Country Rock,12,Valory,1040000,Makes Me Wanna (2014-1)
Brett,Eldredge,,Bring You Back,2013,Country,12,Atlantic,500000,Beat Of The Music (2014-2) & Mean To Me (2014-9)
