year,rank,song,first_name,last_name,stage_name
2020,1,I Hope,Gabby,Barrett,
2020,2,More Than My Hometown,Morgan,Wallen,
2020,3,The Bones,Maren,Morris,
2020,4,"10,000 Hours",Justin,Bieber,& Dan + Shay
2020,5,One Margarita,Luke,Bryan,
2020,6,Good Time,Niko,Moon,
2020,7,Chasin' You,Morgan,Wallen,
2020,8,Nobody But You,Blake,Shelton,
2020,9,I Hope You're Happy Now,Carly & Lee,Pearce & Brice,
2020,10,Hard To Forget,Sam,Hunt,
2019,1,Whiskey Glasses,Morgan,Wallen,
2019,2,"10,000 Hours",Justin,Bieber,& Dan + Shay
2019,3,Speechless,,,Dan + Shay
2019,4,God's Country,Blake,Shelton,
2019,5,Beer Never Broke My Heart,Luke,Combs,
2019,6,The Bones,Maren,Morris,
2019,7,Beautiful Crazy,Luke,Combs,
2019,8,All To Myself,,,Dan + Shay
2019,9,Rumor,Lee,Brice,
2019,10,The Git Up,Blanco,Brown,
2018,1,Meant To Be,Bebe,Rexha,
2018,2,Tequila,,,Dan + Shay
2018,3,Heaven,Kane,Brown,
2018,4,You Make It Easy,Jason,Aldean,
2018,5,Speechless,,,Dan + Shay
2018,6,Get Along,Kenny,Chesney,
2018,7,One Number Away,Luke,Combs,
2018,8,Simple,,,Florida Georgia Line
2018,9,Marry Me,Thomas,Rhett,
2018,10,Beautiful Crazy,Luke,Combs,
2017,1,Body Like A Back Road,Sam,Hunt,
2017,2,In Case You Didn't Know,Brett,Young,
2017,3,Meant To Be,Bebe,Rexha,& Florida Georgia Line
2017,4,Hurricane,Luke,Combs,
2017,5,Small Town Boy,Dustin,Lynch,
2017,6,Broken Halos,Chris,Stapleton,
2017,7,When It Rains It Pours,Luke,Combs,
2017,8,The Fighter,Keith & Carrie,Urban & Underwood,
2017,9,Craving You,Maren & Thomas,Morris & Rhett,
2017,10,Dirt On My Boots,Jon,Pardi,
2016,1,H.O.L.Y.,,,Florida Georgia Line
2016,2,Blue Ain't Your Color,Keith,Urban,
2016,3,Setting The World On Fire,Kenny,Chesney,& P!nk
2016,4,You Should Be Here,Cole,Swindell,
2016,5,Somewhere On A Beach,Dierks,Bentley,
2016,6,Peter Pan,Kelsea,Ballerini,
2016,7,Forever Country,,,"Then, Now, And Forever"
2016,8,Humble And Kind,Tim,McGraw,
2016,9,May We All,Tim,McGraw,& Florida Georgia Line
2016,10,Came Here To Forget,Blake,Shelton,
2015,1,Die A Happy Man,Thomas,Rhett,
2015,2,Take Your Time,Sam,Hunt,
2015,3,House Party,Sam,Hunt,
2015,4,Strip It Down,Luke,Bryan,
2015,5,Kick The Dust Up,Luke,Bryan,
2015,6,I See You,Luke,Bryan,
2015,7,My Baby's Got A Smile On Her Face,Craig,Boyd,
2015,8,Break Up In A Small Town,Sam,Hunt,
2015,9,Homegrown,,,Zac Brown Band
2015,10,"John Cougar, John Deere, John 3:16",Keith,Urban,
2014,1,Makes Me Wanna,Thomas,Rhett,
2014,2,Beat Of The Music,Brett,Eldredge,
2014,3,Whatever She's Got,David,Nail,
2014,4,Automatic,Miranda,Lambert,
2014,5,Leave The Night On,Sam,Hunt,
2014,6,Girl In A Country Song,,,Maddie And Tae
2014,7,American Kids,Kenny,Chesney,
2014,8,Give Me Back My Hometown,Eric,Church,
2014,9,Mean To Me,Brett,Eldredge,
2014,10,Meanwhile Back At Mama's,Tim & Faith,McGraw & Hill,
2013,1,Cruise (Remix),,,Florida Georgia Line & Nelly
2013,2,That's My Kind Of Night,Luke,Bryan,
2013,3,Sure Be Cool If You Did,Blake,Shelton,
2013,4,Stay,,,Florida Georgia Line
2013,5,We Were Us,Keith & Miranda,Urban & Lambert,
2013,6,Better Dig Two,,,The Band Perry
2013,7,This Is How We Roll,,,Florida Georgia Line
2013,8,Ready Set Roll,Chase,Rice,
2013,9,Every Storm (Runs Out Of Rain),Gary,Allan,
2013,10,Boys 'Round Here,Blake,Shelton,Pistol Annies & Friends
2012,1,We Are Never Ever Getting Back Together,Taylor,Swift,
2012,2,Cruise,,,Florida Georgia Line
2012,3,Wanted,Hunter,Hayes,
2012,4,All Your Life,,,The Band Perry
2012,5,Springsteen,Eric,Church,
2012,6,Take A Little Ride,Jason,Aldean,
2012,7,Alone With You,Jake,Owen,
2012,8,Drunk On You,Luke,Bryan,
2012,9,You Gonna Fly,Keith,Urban,
2012,10,Better Dig Two,,,The Band Perry
2011,1,Honey Bee,Blake,Shelton,
2011,2,God Gave Me You,Blake,Shelton,
2011,3,Don't You Wanna Stay,Jason & Kelly,Aldean & Clarkson,
2011,4,Felt Good On My Lips,Tim,McGraw,
2011,5,Just A Kiss,,,Lady Antebellum
2011,6,Somewhere With You,Kenny,Chesney,
2011,7,I Don't Want This Night To End,Luke,Bryan,
2011,8,Take A Back Road,Rodney,Atkins,
2011,9,Barefoot Blue Jean Night,Jake,Owen,
2011,10,Keep Me In Mind,,,Zac Brown Band
2010,1,Why Don't We Just Dance,Josh,Turner,
2010,2,Consider Me Gone,Reba,McEntire,
2010,3,The Man I Want To Be,Chris,Young,
2010,4,Ours,Taylor,Swift,
2010,5,The House That Built Me,Miranda,Lambert,
2010,6,Don't You Wanna Stay,Jason,Aldean,
2010,7,Gimmie That Girl,Joe,Nichols,
2010,8,American Honey,,,Lady Antebellum
2010,9,Mean,Taylor,Swift,
2010,10,The Truth,Jason,Aldean,
